,bad_word,lenght
0,بف,1
1,فايحا,1
2,شادي,1
3,نكم,1
4,رخيسا,1
5,معتوهة,1
6,تبهديلي,1
7,مبعرة,1
8,شيتة,1
9,الشيتة,1
10,باعو,1
11,ترخف,1
12,تفوا,1
13,الشعر,1
14,قودي,1
15,ختفو,1
16,تفوو,1
17,ماتحشميش,1
18,خماج,1
19,شمطاء,1
20,فاجرة,1
21,يشويدي,1
22,صليب,1
23,قبيحة,1
24,ياهودية,1
25,قحبة,1
26,نم,1
27,فاقو,1
28,ترباي,1
29,سوسيال,1
30,قيو,1
31,فاقو,1
32,تکذبي,1
33,ميكروب,1
34,تكذبي,1
35,قيو,1
36,خامجة,1
37,ريوڨ,1
38,التافهة,1
39,كذابة,1
40,رنكي,1
41,خماج,1
42,حمر,1
43,عقرب,1
44,مكبوتا,1
45,تعيي,1
46,يهودي,1
47,تنفخيهم,1
48,حالوفة,1
49,حاشاك,1
50,خر,1
51,جبهتك,1
52,اتربي,1
53,متحشميش,1
54,فاسدة,1
55,تفو,1
56,فاسقة,1
57,بلعي,1
58,صليب,1
59,طوبا,1
60,ممسوخة,1
61,قاعك,1
62,رخيسة,1
63,مرخس,1
64,متخلفة,1
65,خرية,1
66,رخيس,1
67,السناطح,1
68,كسبي,1
69,خامجة,1
70,فايحة,1
71,خرا,1
72,كذبة,1
73,الخنز,1
74,كلاب,1
75,كذابة,1
76,جايحة,1
77,سوسيالة,1
78,روحي,1
79,خشتفو,1
80,تكذبي,1
81,لابوبال,1
82,اعق,1
83,تفوه,1
84,بيتش,1
85,فاقو,1
86,حمقاء,1
87,خري,1
88,خانزة,1
89,حيوان,1
90,ياشيات,1
91,ترخفي,1
92,نقصة تريية,2
93,باختصار رخيصة,2
94,خامجة وفرات,2
95,يعطيهالك نشاله,2
96,مزلك تكذبي,2
97,باه يترباو,2
98,نحتشون يماك,2
99,دايرة كي,2
100,وقحة ساقطة,2
101,وجه صحيح,2
102,عيب عليك,2
103,تفوه رخيسة,2
104,كذابة بلعاطة,2
105,سوتك الخامجة,2
106,شبهة السطل,2
107,تستاهلي كلبتي,2
108,نعراص تاعك,2
109,يخي خرية,2
110,وتزيد تكذب,2
111,عروس الزيڨوات,2
112,بالعي فمك,2
113,غير متربية,2
114,ماتاطولهاش قيمة,2
115,وجهك عڨبة,2
116,الله يذلك,2
117,متكذبيش يالكذابة,2
118,افضحي النقوشه,2
119,وجهك كي,2
120,نتي خرا,2
121,لجبري لتحلاب,2
122,انعدين باباك,2
123,انتي شيطانا,2
124,ياخي طالوشة,2
125,واش تحلبتي,2
126,سوق لخماج,2
127,علاه تكذب,2
128,ياوجه كاويتشو,2
129,انتي 0,2
130,جهناما تكلك,2
131,روحي ادوري,2
132,وجها مطلص,2
133,الله يذلك,2
134,وجه البخس,2
135,جرانا زرزومية,2
136,خرية انت,2
137,انت خرية,2
138,تباني متحولة,2
139,دراهم يماك,2
140,مكبر جبهتك,2
141,ياخي مزعوقة,2
142,ضعف شخصية,2
143,ياخي جايحة,2
144,ماشي مربية,2
145,سيري يالحولة,2
146,والله ماتحشمي,2
147,وجه الشر,2
148,وجه الميزيرية,2
149,سوكتي اسوكلي,2
150,ماشي مربيا,2
151,كيلو ماكياج,2
152,وجه مقلى,2
153,واش دخلك,2
154,ترقصي مليح,2
155,الله يلعن,2
156,دايرة مسيحية,2
157,الله يدلك,2
158,خلاصت حكايتك,2
159,تفوه عليك,2
160,امنتوها كذابة,2
161,جبهتك صافا,2
162,تفو عليك,2
163,كبيرة جايحة,2
164,هاني نريڨ,2
165,شحال تكذبي,2
166,فيحا خمجا,2
167,تفو عليكم,2
168,روحي تع,2
169,شحال متعجبينيس,2
170,شحال متعجبينيش,2
171,روح تعطيه,2
172,وجه نمي,2
173,كبير تكذب,2
174,كلي خرى,2
175,روحي ت,2
176,مستوى 00,2
177,تعيي مكروهة,2
178,الى المزبلة,2
179,تستهلي كتر,2
180,الخوف يهدر,2
181,ختفو عليك,2
182,كذابة ثاني,2
183,بلاد القاف,2
184,تبقاي رخيسة,2
185,يحبو نيكو معليش,3
186,يحق راص تاعك,3
187,سو تاع امك,3
188,حكام العسكر الخبيث,3
189,كذابة على الشعب,3
190,فاقو احكيها لبيبيط,3
191,راهم فاقو طز,3
192,متحشميش وجهك صحيح,3
193,بودماغ شوشا تاعك,3
194,لا نحتاج امثالكي,3
195,كاين المرخس بزاف,3
196,الجبهة تاعك ختيتو,3
197,اتفه مخلوقات الجزاير,3
198,اضربو يعرف مضربو,3
199,اعطيلهم ونحيلهم الكبت,3
200,وتزوجها مسكينة بارت,3
201,طز فى وجهك,3
202,برتي برابي نشاله,3
203,متستاهلش الرد اصلا,3
204,ياودي انت هيشة,3
205,نحي اعلينا لخمج,3
206,واش يا المكبوتة ,3
207,خلينا من القح,3
208,التبهدايل كامل عندها,3
209,ما ممربياش طفلة,3
210,وشبيه هذي تخلط,3
211,بقداه تبات الليلة,3
212,ڨالتها جبهتك جبرية,3
213,الجزايري نقش كبير,3
214,دير كلو مكيج,3
215,القصاص يطبق عليك,3
216,انسانة مهيش متربية,3
217,الله لا تربحك,3
218,قادري روحك يالالا,3
219,20 دورو مصدي,3
220,حلبوها ولات تكبر,3
221,نحكمها نفعل فيها,3
222,نتيا نسيتي روحك,3
223,تفو خماج وشكرا,3
224,خامجة خماج تفواا,3
225,يا خي مهرجهة,3
226,حشا خلق ربي,3
227,الزبلة درتولها الشان,3
228,روحي تخري بعيد,3
229,جبهة التحرير الوطني,3
230,وحد منهم نتيا,3
231,قبح الله وجهك,3
232,فمك جبهتك قدقد,3
233,امشي اتحجبي وترباي,3
234,نحملهاش هاذ المخلوقة,3
235,جبهة كي سرالها,3
236,لازم توزني كلامك,3
237,نتي واش دخلك,3
238,ادي جبهتك وحكايتك,3
239,ربي يهديك ياموسطاشة,3
240,ترباي نتيا برك,3
241,بهدلتينا يا طلابة,3
242,لقصاص نطبقو عليك,3
243,شكون لي رخيسا,3
244,ونتي فرحانة بروحك,3
245,نتيا مرة نتي,3
246,مزالك عايشة الجبهة,3
247,وعذاب القبر نسيتيه,3
248,وجهك صحيح تهدري,3
249,غول مشي مربيا,3
250,كافيا تاع الصح,3
251,روحي انصحي روحك,3
252,انتي ماشي مسلمة,3
253,المغتصب خصو الاعدام,3
254,مريضة نفسيا مسكينة,3
255,نت وحادة مهبول,3
256,بلعي فمك وحشمي,3
257,نتي هيا امريدا,3
258,قيو الزلط واعر,3
259,بركاي بلاكدب اف,3
260,الله لاتربحك نشالله,3
261,مانسحقوش لي يربينا,3
262,ادي حكايتك بعيد,3
263,خريه مهما بررتي,3
264,روحي تلعبي بعيد,3
265,امشي تخراي بعيد,3
266,الجزاير مرحاض فرنسا,3
267,تفوه وجه الشر,3
268,في سلة المهملات,3
269,شكون الطحانين لعرضوها,3
270,قييو راهم فاقو,3
271,تروحي ماشي خير,3
272,شكون هاد جرانة,3
273,تجمعي وماكيش حاشمة,3
274,اعقاقي طلعي القلب,3
275,انتي انسانة مكروها,3
276,اهدري بالعربية يالبدوية,3
277,عندها جبهة التحرير,3
278,ترخف انت وهي,3
279,جبهتك والكل يضحك,3
280,من هذا البوكمون,3
281,بوجبهة مكاموفليا بالشعر,3
282,تكذبي وبزاف تاني,3
283,جبريا كافيا تبقاي كافيا,4
284,بف زيڨو راه يهدار,4
285,وجهك صحيح يا المخلوعة,4
286,ماعندك ماتحكي عفناك تفو,4
287,اشحال منحبهاش هاذ المعزة,4
288,الوقاحة في ابشع صورها,4
289,قولي والله يخي يخي,4
290,مليح القزول يا محاينك,4
291,ياو قيو فاقو بيك,4
292,ياو خلاست عليك مال,4
293,روحي يا وجاه زاك,4
294,همعليش وكيلك ربي برك,4
295,شحال تكذب وجها صحيح,4
296,نتي من بكري فايحة,4
297,يو تكدب وتزيد تكدب,4
298,وجه الطاجين مازالت تبان,4
299,حالة الجيعان كي يشبع,4
300,ربي اذلك مزالكي تكذبي,4
301,كذابه رقعي القعره كبيره,4
302,ما تحشميش على روحك,4
303,اشكون الجزانة هادي خوتي,4
304,لا تجعلوا الحمقى مشاهير,4
305,احذر منها اصلها يهودية,4
306,بينا ملقيتش ليكسرك الترما,4
307,الصح يحرحر يا بوسروال,4
308,هدي واش حاسبة روحها,4
309,روحي تزوجي وحد بايرا,4
310,هذه المسخوطة مريضة نفسيا,4
311,استري روحك يا جايحة,4
312,هذي شحال عندها ماحففتش,4
313,والله ما يوڨفلي عليك,4
314,جبهتها قداه تحسب تيمومة,4
315,خستتني درجة نتاع سكالي,4
316,فرطاسة ولا تعرف تقصف,4
317,روح يبغلة كيشغل انسان,4
318,عيدارية يا بنت الحركي,4
319,روحي سايي زهرك بعيد,4
320,كي نلصڨك نطير عليك,4
321,مكيش مربيا تزوخي بدراهمك,4
322,هادي ديجا مشي بنادم,4
323,وش حاطا روحك باخصة,4
324,واش راكي حسبا روحك,4
325,هذي مالقاتش لي يلوحهولها,4
326,روحي تلعبي اوجه الطواليت,4
327,رخيسا مكيش بنة دزاير,4
328,اعطوك اكثر من حجمك,4
329,التاريخ مايرحمش ماعندك ماتبرري,4
330,روحي تخراي معليش كذابة,4
331,او هي نسات روحها,4
332,كلمة حيوانات شويا صعيبة,4
333,هاد وجه يريق عليه,4
334,وجهك روشي صحيح تفو,4
335,جبهة زطل كيلو ورطل,4
336,علاه انتي راكي مسلم,4
337,مسكين راح تروح للحبس,4
338,حلابين الله غالب متفهموش,4
339,فمك كثر من جبهتك,4
340,نتي هيا كيف كيف,4
341,تبهدلي ياوحد الحلوفة الكافرة,4
342,هنا شحال غشيتك بزاف,4
343,ريحا تعدم الشعب الجزايري,4
344,علاه تهدر هك تعي,4
345,عندها الحق شعب جايح,4
346,روحي ترقدي على روحك,4
347,سمحيلي بصح قمح مشرك,4
348,الكحل ديرة حتى الوذنه,4
349,واش حسبة روحك ويلا,4
350,هدري نيشان يا العڨونى,4
351,جبهت تحرير اعطيناكي عهدا,4
352,شحال نكرهها تشبه للحلوف,4
353,كنت نحبك بصح كرهت,4
354,نتي شكون يشوف فيك,4
355,مالكي تعوجي في فمك,4
356,مازال الريوق اسيلو من,4
357,لابسة صليب في صدرك,4
358,باينة كانت جيعانة وشبعت,4
359,غباء مزمن مرض العصر,4
360,دبري حرفا خيرلك كرهتك,4
361,مونيا ڨاع منحبوكش صح,4
362,قيو اوهوه فاقو بيك,4
363,تكذبي خلاص مات الحوت,4
364,اخ تفوه لوجه الصحيح,4
365,اف انتي امراى تافها,4
366,الخرية هادي راح تفر,4
367,وشكون لسامع بيك مبعرة,4
368,تباني غير تاع بيبة,4
369,راكم صامطين جماعة 16,4
370,عندك راس تاع دواب,4
371,تفو وجهك صحيح متحشميش,4
372,شيطان في صورة انسان,4
373,امشي قلبي وجهك برك,4
374,وجهك صحيح يا متعجرفة,4
375,مازالكي دوري انا كرهتك,4
376,خرية ناطقة حاشا الناس,4
377,جبهتك وسركاجي كيف كيف,4
378,واش خامج في هضرتها,4
379,تعوج فمها يخي خمبلوشة,4
380,الغباء لو كان انسانا,4
381,لحم رخيس حلبات براني,4
382,ربي روحك مسحقينالكش تربينا,4
383,اعطيني وجهك نكذب بيه,4
384,واشكون انت يا حلوف,4
